"Date","T_treatment","Tair"
2013-02-23,"ambient",22.9453221450617
2013-02-23,"elevated",25.9460860339506
2013-02-24,"ambient",22.4685428240741
2013-02-24,"elevated",25.4672075617284
2013-02-25,"ambient",23.0616242283951
2013-02-25,"elevated",26.0600030864198
2013-02-26,"ambient",23.8215848765432
2013-02-26,"elevated",26.8223614969136
2013-02-27,"ambient",24.9553630401235
2013-02-27,"elevated",27.9562581018519
2013-02-28,"ambient",24.7621125578704
2013-02-28,"elevated",27.7587446469907
2013-03-01,"ambient",23.4427309992284
2013-03-01,"elevated",26.4364406346451
2013-03-02,"ambient",20.930376652027
2013-03-02,"elevated",23.9256395812879
2013-03-03,"ambient",18.644592599826
2013-03-03,"elevated",21.6441836751868
2013-03-04,"ambient",18.1903435049155
2013-03-04,"elevated",21.1919688986977
2013-03-05,"ambient",19.5250438372857
2013-03-05,"elevated",22.524601760666
2013-03-06,"ambient",20.9016068824465
2013-03-06,"elevated",23.9008417902903
2013-03-07,"ambient",21.6154518165776
2013-03-07,"elevated",24.6158246620093
2013-03-08,"ambient",21.9125481493484
2013-03-08,"elevated",24.9148107752191
2013-03-09,"ambient",21.8737141807265
2013-03-09,"elevated",24.8781960226704
2013-03-10,"ambient",21.9037878878846
2013-03-10,"elevated",24.9088744996944
2013-03-11,"ambient",21.9569880655338
2013-03-11,"elevated",24.9616209262707
2013-03-12,"ambient",22.3557297102769
2013-03-12,"elevated",25.3589729445178
2013-03-13,"ambient",22.0703127679729
2013-03-13,"elevated",25.0732303004263
2013-03-14,"ambient",22.0082826486239
2013-03-14,"elevated",25.0109613477884
2013-03-15,"ambient",21.7450178156667
2013-03-15,"elevated",24.7472449488362
2013-03-16,"ambient",21.9075284114991
2013-03-16,"elevated",24.9104451496212
2013-03-17,"ambient",22.5934967740136
2013-03-17,"elevated",25.5977589993291
2013-03-18,"ambient",21.9311429555821
2013-03-18,"elevated",24.9369489213194
2013-03-19,"ambient",20.4115436170844
2013-03-19,"elevated",23.4150408565759
2013-03-20,"ambient",18.3248435892779
2013-03-20,"elevated",21.3274365734257
2013-03-21,"ambient",18.03563860462
2013-03-21,"elevated",21.0385771914648
2013-03-22,"ambient",19.2587646497535
2013-03-22,"elevated",22.2628823721393
2013-03-23,"ambient",21.8878144993152
2013-03-23,"elevated",24.8924385952676
2013-03-24,"ambient",23.941635617767
2013-03-24,"elevated",26.9464540286014
2013-03-25,"ambient",25.0800938499988
2013-03-25,"elevated",28.0860572072781
2013-03-26,"ambient",23.6269390456562
2013-03-26,"elevated",26.6327343437971
2013-03-27,"ambient",22.5769166668941
2013-03-27,"elevated",25.5793387349557
2013-03-28,"ambient",22.4492630585047
2013-03-28,"elevated",25.4520007607763
2013-03-29,"ambient",23.2838063720787
2013-03-29,"elevated",26.286546047563
2013-03-30,"ambient",22.23594113251
2013-03-30,"elevated",25.2411526754973
2013-03-31,"ambient",20.5921004492285
2013-03-31,"elevated",23.5962250288343
2013-04-01,"ambient",18.9886747544826
2013-04-01,"elevated",21.9921311969096
2013-04-02,"ambient",19.2361348400683
2013-04-02,"elevated",22.2405824555316
2013-04-03,"ambient",19.2099679656762
2013-04-03,"elevated",22.2139733103907
2013-04-04,"ambient",18.352853915697
2013-04-04,"elevated",21.3570708888741
2013-04-05,"ambient",17.317933025021
2013-04-05,"elevated",20.3173851155812
2013-04-06,"ambient",16.7893595092681
2013-04-06,"elevated",19.7914306216924
2013-04-07,"ambient",16.9173696114338
2013-04-07,"elevated",19.9192872951951
2013-04-08,"ambient",16.9747091114164
2013-04-08,"elevated",19.97741317584
2013-04-09,"ambient",16.8524701825341
2013-04-09,"elevated",19.8556440887023
2013-04-10,"ambient",16.8957076926343
2013-04-10,"elevated",19.89908524126
2013-04-11,"ambient",16.9985653783464
2013-04-11,"elevated",20.0042212766742
2013-04-12,"ambient",17.0942071996823
2013-04-12,"elevated",20.099330755454
2013-04-13,"ambient",17.4792993213567
2013-04-13,"elevated",20.4843777101385
2013-04-14,"ambient",17.7457807067483
2013-04-14,"elevated",20.7514576658885
2013-04-15,"ambient",18.1356341635639
2013-04-15,"elevated",21.1388339639636
2013-04-16,"ambient",18.0902735704352
2013-04-16,"elevated",21.0398540240545
2013-04-17,"ambient",17.9371149051667
2013-04-17,"elevated",20.883250256994
2013-04-18,"ambient",17.4225394489288
2013-04-18,"elevated",20.3701378689704
2013-04-19,"ambient",17.227419497923
2013-04-19,"elevated",20.2274413215976
2013-04-20,"ambient",16.5309851274609
2013-04-20,"elevated",19.5336085185956
2013-04-21,"ambient",15.7654662377619
2013-04-21,"elevated",18.7656054443982
2013-04-22,"ambient",14.6249000973815
2013-04-22,"elevated",17.6249738090082
2013-04-23,"ambient",14.8543174018123
2013-04-23,"elevated",17.8551917328905
2013-04-24,"ambient",14.8910937356252
2013-04-24,"elevated",17.8920586272986
2013-04-25,"ambient",14.8542010009496
2013-04-25,"elevated",17.8553378763127
2013-04-26,"ambient",14.0301913241986
2013-04-26,"elevated",17.0307044407552
2013-04-27,"ambient",13.8997027929289
2013-04-27,"elevated",16.8994319933363
2013-04-28,"ambient",14.3860079502475
2013-04-28,"elevated",17.3837845234087
2013-04-29,"ambient",15.4412831865349
2013-04-29,"elevated",18.4409790282982
2013-04-30,"ambient",16.4072944034704
2013-04-30,"elevated",19.4075845208048
2013-05-01,"ambient",17.639453374844
2013-05-01,"elevated",20.641391787392
2013-05-02,"ambient",18.6385544996783
2013-05-02,"elevated",21.6400466896647
2013-05-03,"ambient",17.6697012791031
2013-05-03,"elevated",20.6706798026561
2013-05-04,"ambient",15.7663245251142
2013-05-04,"elevated",18.76704171109
2013-05-05,"ambient",14.8384198617605
2013-05-05,"elevated",17.8383416843401
2013-05-06,"ambient",14.7381603767499
2013-05-06,"elevated",17.7386715971543
2013-05-07,"ambient",14.456942605946
2013-05-07,"elevated",17.4577521463124
2013-05-08,"ambient",13.9088688778045
2013-05-08,"elevated",16.9101072315379
2013-05-09,"ambient",13.8207932092194
2013-05-09,"elevated",16.8204570320903
2013-05-10,"ambient",14.1896225122001
2013-05-10,"elevated",17.189393095884
2013-05-11,"ambient",13.4435670319285
2013-05-11,"elevated",16.4426072515307
2013-05-12,"ambient",13.7626481305317
2013-05-12,"elevated",16.763624868907
2013-05-13,"ambient",14.1911720244612
2013-05-13,"elevated",17.1914542291173
2013-05-14,"ambient",14.6284001440251
2013-05-14,"elevated",17.6291280642668
2013-05-15,"ambient",14.4691332218905
2013-05-15,"elevated",17.469653734327
2013-05-16,"ambient",13.1960957827308
2013-05-16,"elevated",16.1970247183905
2013-05-17,"ambient",13.099817720188
2013-05-17,"elevated",16.1004688498622
2013-05-18,"ambient",12.9026498786848
2013-05-18,"elevated",15.9027913082137
2013-05-19,"ambient",12.625124090164
2013-05-19,"elevated",15.625648216081
2013-05-20,"ambient",11.1074140385626
2013-05-20,"elevated",14.1075719507725
2013-05-21,"ambient",9.65202259714413
2013-05-21,"elevated",12.652641471304
2013-05-22,"ambient",10.6524488866149
2013-05-22,"elevated",13.65348047631
2013-05-23,"ambient",10.8580914901503
2013-05-23,"elevated",13.8559480700287
2013-05-24,"ambient",11.9204162376229
2013-05-24,"elevated",14.9204142283647
2013-05-25,"ambient",12.2212873750773
2013-05-25,"elevated",15.2211662778157
2013-05-26,"ambient",13.1945963121443
2013-05-26,"elevated",16.1975707318128
2013-05-27,"ambient",12.0463469401767
2013-05-27,"elevated",15.0474399951716
