"","Date","chamber","gCarbon_tree","gCarbon_la"
"1",2012-12-12,"C02",0.3957764422716,5.60115638289951
"2",2012-12-12,"C04",0,0
"3",2012-12-12,"C06",0.437645165958,6.68498359006552
"4",2012-12-12,"C08",0.130532768028,8.2515902164935
"5",2012-12-12,"C10",0.1922834279808,7.15521289201292
"6",2012-12-12,"C12",0,0
"7",2012-12-13,"C02",0.503953598304,5.64429002174848
"8",2012-12-13,"C04",0.0675143546688,0.496137559505089
"9",2012-12-13,"C06",0.5141877236028,6.09243779706634
"10",2012-12-13,"C08",0.3356493887448,6.11015306100162
"11",2012-12-13,"C10",0.327291815214,6.26753076300444
"12",2012-12-13,"C12",0.1353508363116,1.25385646111535
"13",2012-12-14,"C02",0.4738915848888,4.39148983356046
"14",2012-12-14,"C04",0.3056690961324,1.7853479112485
"15",2012-12-14,"C06",0.494294112936,4.78371547594444
"16",2012-12-14,"C08",0.4675242804336,4.97117642688124
"17",2012-12-14,"C10",0.400338970902,5.16118629171709
"18",2012-12-14,"C12",0.2645907725916,2.0636448641302
"19",2012-12-15,"C02",0.4193587310796,3.31411592074093
"20",2012-12-15,"C04",0.4270391893872,2.06959264019303
"21",2012-12-15,"C06",0.4667066400204,3.81735116919081
"22",2012-12-15,"C08",0.5355103673556,4.0215266902569
"23",2012-12-15,"C10",0.3936551604804,3.82507881262884
"24",2012-12-15,"C12",0.3379583257128,2.27607577894658
"25",2012-12-16,"C02",0.5722436520216,3.94207865067468
"26",2012-12-16,"C04",0.658325924334,2.72632998258647
"27",2012-12-16,"C06",0.6186813901164,4.38190395125326
"28",2012-12-16,"C08",0.7902323801424,4.58704260861852
"29",2012-12-16,"C10",0.575874390546,4.48985363690877
"30",2012-12-16,"C12",0.5262357048156,3.11842402162288
"31",2012-12-17,"C02",0.4415176078092,2.69565352465585
"32",2012-12-17,"C04",0.6353282203164,2.29692425435085
"33",2012-12-17,"C06",0.5261578754796,3.28600413768656
"34",2012-12-17,"C08",0.7431983828568,3.51578768915784
"35",2012-12-17,"C10",0.5036241207816,3.27862557973132
"36",2012-12-17,"C12",0.4797188402292,2.53795103872557
"37",2012-12-18,"C02",0.9442596627828,5.17645082948923
"38",2012-12-18,"C04",1.3679482992552,4.3882547622614
"39",2012-12-18,"C06",1.074961493424,6.00363826314037
"40",2012-12-18,"C08",1.55608947702,6.21186406635072
"41",2012-12-18,"C10",1.0705870523556,5.98242624975402
"42",2012-12-18,"C12",1.0306281740976,4.92450133982023
"43",2012-12-19,"C02",0.9218340043848,4.58531990172049
"44",2012-12-19,"C04",1.4436961329024,4.16219437798125
"45",2012-12-19,"C06",1.0713558332412,5.41136709703945
"46",2012-12-19,"C08",1.6215802689528,5.59905506505479
"47",2012-12-19,"C10",1.0627695279396,5.20194469650063
"48",2012-12-19,"C12",1.1074846433976,4.82451802086054
"49",2012-12-20,"C02",0.7982548551432,3.63394702093591
"50",2012-12-20,"C04",1.3373064572868,3.50090045630926
"51",2012-12-20,"C06",0.940645354896,4.3365044759412
"52",2012-12-20,"C08",1.4836005306252,4.51311790004281
"53",2012-12-20,"C10",0.9713736739044,4.22981200783238
"54",2012-12-20,"C12",1.0433848346532,4.17652874795108
"55",2012-12-21,"C02",0.8192622900852,3.43806249254629
"56",2012-12-21,"C04",1.4115383484228,3.38401677153458
"57",2012-12-21,"C06",0.9883949496876,4.19088331889009
"58",2012-12-21,"C08",1.5900044749524,4.3224887017079
"59",2012-12-21,"C10",1.0144950175152,3.97846807984987
"60",2012-12-21,"C12",1.12768222086,4.17522931166015
"61",2012-12-22,"C02",1.0579112478324,4.11770573189886
"62",2012-12-22,"C04",1.836389668698,4.06057115511624
"63",2012-12-22,"C06",1.2001945160556,4.710804363177
"64",2012-12-22,"C08",2.0378128550364,5.00742013680174
"65",2012-12-22,"C10",1.3175702348328,4.69984367123867
"66",2012-12-22,"C12",1.409054727834,4.85284670155175
"67",2012-12-23,"C02",0.953005085838,3.45863840479001
"68",2012-12-23,"C04",1.7090275813416,3.50656784326402
"69",2012-12-23,"C06",1.0985792378184,4.01372503725205
"70",2012-12-23,"C08",1.9008591667884,4.26132254226779
"71",2012-12-23,"C10",1.229608384056,4.02239725407828
"72",2012-12-23,"C12",1.334550434022,4.29635386406543
"73",2012-12-24,"C02",0.9342516749436,3.17589885174363
"74",2012-12-24,"C04",1.7314419977244,3.31370798376613
"75",2012-12-24,"C06",1.1280233727828,3.8546919654457
"76",2012-12-24,"C08",1.9792947068388,4.07945098986987
"77",2012-12-24,"C10",1.2596647764636,3.80520310338597
"78",2012-12-24,"C12",1.4148015595272,4.27572537005341
"79",2012-12-25,"C02",0.3508866431928,1.14988974305953
"80",2012-12-25,"C04",0.6760943617428,1.21160602170369
"81",2012-12-25,"C06",0.4574566234368,1.48607417456959
"82",2012-12-25,"C08",0.7856019670356,1.53072828735085
"83",2012-12-25,"C10",0.4979257162308,1.42887654273714
"84",2012-12-25,"C12",0.6015684486708,1.693743215585
"85",2012-12-26,"C02",0.908404552458,2.87354365049985
"86",2012-12-26,"C04",1.7471674150632,2.94373250763173
"87",2012-12-26,"C06",1.1325041806104,3.50597249569513
"88",2012-12-26,"C08",1.9863248578056,3.66984666366933
"89",2012-12-26,"C10",1.2681045031824,3.46562156655947
"90",2012-12-26,"C12",1.4839507626372,3.91078998337235
"91",2012-12-27,"C02",1.7545728763836,5.36393084375329
"92",2012-12-27,"C04",3.3749731661256,5.3653849514231
"93",2012-12-27,"C06",2.10293784909,6.21777492607606
