"Date","foliage","wood","root","foliage_SE","wood_SE","root_SE"
2013-09-17,0.676788215912675,0.104024888337462,0.219186895749863,0.0937553478295913,0.0148488461945683,0.0229201802897134
2013-09-18,0.675649817950392,0.104425102768895,0.219925079280712,0.0934767701741069,0.0148571484602269,0.0230015804592806
2013-09-19,0.67451141998811,0.104825317200329,0.220663262811561,0.0931981925186224,0.0148654507258856,0.0230829806288479
2013-09-20,0.673373022025828,0.105225531631762,0.22140144634241,0.0929196148631379,0.0148737529915442,0.0231643807984152
2013-09-21,0.672234624063545,0.105625746063195,0.222139629873259,0.0926410372076534,0.0148820552572029,0.0232457809679825
2013-09-22,0.671096226101263,0.106025960494629,0.222877813404108,0.0923624595521689,0.0148903575228615,0.0233271811375497
2013-09-23,0.669957828138981,0.106426174926062,0.223615996934957,0.0920838818966844,0.0148986597885202,0.023408581307117
2013-09-24,0.668819430176698,0.106826389357496,0.224354180465806,0.0918053042411999,0.0149069620541788,0.0234899814766843
2013-09-25,0.667681032214416,0.107226603788929,0.225092363996655,0.0915267265857154,0.0149152643198375,0.0235713816462515
2013-09-26,0.666542634252133,0.107626818220363,0.225830547527504,0.0912481489302309,0.0149235665854961,0.0236527818158188
2013-09-27,0.665404236289851,0.108027032651796,0.226568731058353,0.0909695712747464,0.0149318688511548,0.0237341819853861
2013-09-28,0.664265838327569,0.108427247083229,0.227306914589202,0.0906909936192619,0.0149401711168134,0.0238155821549533
2013-09-29,0.663127440365286,0.108827461514663,0.228045098120051,0.0904124159637774,0.0149484733824721,0.0238969823245206
2013-09-30,0.661989042403004,0.109227675946096,0.2287832816509,0.0901338383082929,0.0149567756481307,0.0239783824940879
2013-10-01,0.660850644440722,0.10962789037753,0.229521465181749,0.0898552606528084,0.0149650779137894,0.0240597826636551
2013-10-02,0.659712246478439,0.110028104808963,0.230259648712598,0.0895766829973239,0.014973380179448,0.0241411828332224
2013-10-03,0.658573848516157,0.110428319240397,0.230997832243447,0.0892981053418394,0.0149816824451067,0.0242225830027897
2013-10-04,0.657435450553874,0.11082853367183,0.231736015774296,0.0890195276863549,0.0149899847107653,0.024303983172357
2013-10-05,0.656297052591592,0.111228748103263,0.232474199305145,0.0887409500308704,0.014998286976424,0.0243853833419242
2013-10-06,0.65515865462931,0.111628962534697,0.233212382835993,0.0884623723753859,0.0150065892420826,0.0244667835114915
2013-10-07,0.654020256667027,0.11202917696613,0.233950566366842,0.0881837947199014,0.0150148915077413,0.0245481836810588
2013-10-08,0.652881858704745,0.112429391397564,0.234688749897691,0.087905217064417,0.0150231937733999,0.024629583850626
2013-10-09,0.651743460742463,0.112829605828997,0.23542693342854,0.0876266394089324,0.0150314960390586,0.0247109840201933
2013-10-10,0.65060506278018,0.11322982026043,0.236165116959389,0.087348061753448,0.0150397983047172,0.0247923841897606
2013-10-11,0.649466664817898,0.113630034691864,0.236903300490238,0.0870694840979635,0.0150481005703759,0.0248737843593279
2013-10-12,0.648328266855616,0.114030249123297,0.237641484021087,0.086790906442479,0.0150564028360346,0.0249551845288951
2013-10-13,0.647189868893333,0.114430463554731,0.238379667551936,0.0865123287869945,0.0150647051016932,0.0250365846984624
2013-10-14,0.646051470931051,0.114830677986164,0.239117851082785,0.08623375113151,0.0150730073673519,0.0251179848680297
2013-10-15,0.644913072968768,0.115230892417598,0.239856034613634,0.0859551734760255,0.0150813096330105,0.0251993850375969
2013-10-16,0.643774675006486,0.115631106849031,0.240594218144483,0.085676595820541,0.0150896118986692,0.0252807852071642
2013-10-17,0.642636277044204,0.116031321280464,0.241332401675332,0.0853980181650565,0.0150979141643278,0.0253621853767315
2013-10-18,0.641497879081921,0.116431535711898,0.242070585206181,0.085119440509572,0.0151062164299865,0.0254435855462987
2013-10-19,0.640359481119639,0.116831750143331,0.24280876873703,0.0848408628540875,0.0151145186956451,0.025524985715866
2013-10-20,0.639221083157356,0.117231964574765,0.243546952267879,0.084562285198603,0.0151228209613038,0.0256063858854333
2013-10-21,0.638082685195074,0.117632179006198,0.244285135798728,0.0842837075431185,0.0151311232269624,0.0256877860550006
2013-10-22,0.636944287232792,0.118032393437632,0.245023319329577,0.084005129887634,0.0151394254926211,0.0257691862245678
2013-10-23,0.635805889270509,0.118432607869065,0.245761502860426,0.0837265522321495,0.0151477277582797,0.0258505863941351
2013-10-24,0.634667491308227,0.118832822300498,0.246499686391274,0.083447974576665,0.0151560300239384,0.0259319865637024
2013-10-25,0.633529093345945,0.119233036731932,0.247237869922123,0.0831693969211805,0.015164332289597,0.0260133867332696
2013-10-26,0.632390695383662,0.119633251163365,0.247976053452972,0.082890819265696,0.0151726345552557,0.0260947869028369
2013-10-27,0.63125229742138,0.120033465594799,0.248714236983821,0.0826122416102115,0.0151809368209143,0.0261761870724042
2013-10-28,0.630113899459098,0.120433680026232,0.24945242051467,0.082333663954727,0.015189239086573,0.0262575872419714
2013-10-29,0.628975501496815,0.120833894457666,0.250190604045519,0.0820550862992425,0.0151975413522316,0.0263389874115387
2013-10-30,0.627837103534533,0.121234108889099,0.250928787576368,0.0817765086437581,0.0152058436178903,0.026420387581106
2013-10-31,0.62669870557225,0.121634323320532,0.251666971107217,0.0814979309882736,0.0152141458835489,0.0265017877506733
2013-11-01,0.625560307609968,0.122034537751966,0.252405154638066,0.0812193533327891,0.0152224481492076,0.0265831879202405
2013-11-02,0.624421909647686,0.122434752183399,0.253143338168915,0.0809407756773046,0.0152307504148662,0.0266645880898078
2013-11-03,0.623283511685403,0.122834966614833,0.253881521699764,0.0806621980218201,0.0152390526805249,0.0267459882593751
