"bic","no.param","treatment"
24880.1758931645,2,"ambient"
29381.5808925395,3,"ambient"
24702.5233841596,4,"ambient"
21604.1182976397,2,"elevated"
19445.3790135984,3,"elevated"
30525.3334159145,4,"elevated"
